ln(alpha),alpha,ln(Beta),Beta,-2 ln(Likelihood)
-0.860260733,0.423051764,2.676558784,14.53498909,-21.62997036
-1.036410853,0.354725562,2.135472815,8.461046073,-21.82296568
-1.275838942,0.27919664,0.930300785,2.535271635,-24.76128553
-1.081313831,0.339149647,0.668506133,1.95132013,-29.86491907
-0.462134157,0.629937824,1.62285263,5.067525494,-18.80863471
-1.181926339,0.306687385,1.181232795,3.258388652,-13.42485716
-1.424743696,0.240570114,0.251014787,1.285329091,-40.96931605
-1.688425045,0.184810363,0.423029297,1.52657902,-41.59997946
-1.029359155,0.35723582,1.109781084,3.033694199,-28.33723886
-1.139624447,0.319939153,0.698490877,2.010716,-32.19299191
-1.126957666,0.324017528,2.392623341,10.94216135,-23.64439479
-0.623463414,0.536084536,1.571326216,4.813027075,-38.31211753
-1.126863258,0.324048119,1.622555436,5.06601968,-21.21272
-1.67646402,0.187034157,-0.155857513,0.855681105,-32.47766413
-1.014796964,0.362476018,1.439257486,4.217563055,-27.74260867
-1.134091472,0.321714275,1.611272095,5.009179327,-15.06665586
-1.27921007,0.278257017,0.196360202,1.21696518,-26.18477956
-1.025554661,0.35859751,2.317401784,10.14927003,-15.63247389
-1.123534885,0.325128469,1.000885359,2.720689549,-35.97608925
-1.226439609,0.293335108,0.9139412,2.494133065,-18.98128885
-0.577421201,0.561344095,1.809173249,6.105397704,-13.50196254
-1.149231581,0.316880173,1.250667964,3.49267516,-20.01430903
-1.34609623,0.260254253,1.676834279,5.348596975,-25.32639607
-1.044804347,0.351760636,2.118824985,8.321354025,-28.70105333
-1.203070976,0.30027067,1.603674581,4.971266225,-19.5153561
-1.133322016,0.321961915,1.136576687,3.116082759,-23.15977175
-0.643857708,0.525262202,2.529142069,12.54274072,-15.61484285
-0.97721273,0.376358652,1.081985721,2.950532674,-23.92412753
-0.945154163,0.388619655,1.447744117,4.253508265,-33.48694839
-0.228492594,0.795732191,3.266669927,26.22386639,-16.85824773
-1.091473807,0.335721341,2.49110644,12.07462858,-28.60915569
-1.091583995,0.33568435,1.560295778,4.760229006,-22.17313543
-0.887335015,0.411751604,1.590626119,4.90682022,-24.39964051
-0.741879633,0.476217959,1.316413485,3.730019589,-16.00053711
-0.982619256,0.374329349,1.083564142,2.955193532,-33.37501117
