r,K,m,g,C0,distance
[0.0741223],[8557.35680458],[7.29685798],[20.10333616],[972.98619853],81.02102930465071
[6.17544706],[759.99527357],[13.38934092],[7.06304041],[1004.87681934],239.3817983410778
[3.98711919],[854.91648036],[8.06928711],[3.24054182],[938.98461583],238.32726133791925
[0.02544898],[19485.66698918],[3.48808745],[15.95209005],[890.34779452],220.89026640819156
[19.51096387],[716.42513759],[10.29155437],[11.6553292],[949.68655951],249.88016006746057
[2.32092154],[751.84791363],[15.13022367],[12.15769405],[988.74189598],235.46597153115727
[0.14435005],[21902.58105927],[5.52463209],[12.07546917],[923.23540142],201.86476413901016
[0.61614138],[943.55475135],[17.75114026],[24.07118414],[1007.50420046],148.34988572355292
[0.1669467],[5419.29600961],[12.86886581],[19.53109953],[1027.57824346],228.6123913478964
[22.00579328],[722.49100302],[11.01221048],[3.16943092],[943.41850326],232.99322738650187
[0.16824129],[6759.1959371],[8.04546771],[17.26611181],[905.62926015],237.13947191258603
[0.04623666],[27684.23964804],[4.43618898],[11.41896125],[1027.49394779],179.32246418842703
[11.02145286],[725.51214905],[11.20497402],[23.51865403],[976.33199271],245.81207289542215
[12.30770723],[781.74782572],[15.28912865],[24.16317755],[964.89220122],241.30224450497929
[3.44184218],[750.2447085],[17.59169924],[20.58242145],[1004.43696905],227.39124371225353
[1.12990185],[777.22336746],[10.96059771],[22.418944],[1019.84565501],209.7898543548971
[0.02416638],[16075.11480856],[6.6171457],[23.79189993],[963.92790083],169.53200716969377
[8.40625839],[731.84918159],[14.19917136],[3.66285348],[988.14930979],225.17087647688982
[0.70404818],[916.26544322],[8.66237201],[16.71326944],[1059.41610403],228.45605791215735
[0.16363705],[12701.48343878],[10.78225899],[17.84320291],[961.66805644],188.17110505155756
[14.3320686],[777.81370809],[10.00126301],[2.42636668],[1038.93164435],247.2582414716718
[4.31066543],[747.66102762],[12.45333423],[14.57031664],[918.11215908],237.0981596069255
[17.25760711],[846.36544709],[17.58909656],[2.49550615],[965.76199452],214.66513313757525
[0.05333127],[3481.51900211],[9.96183334],[21.33453396],[1032.55412906],246.40309327519174
[0.12830832],[6248.20479223],[8.59243369],[17.59205653],[998.06820788],130.6943251864068
[1.04496662],[927.97639862],[15.53101577],[15.91331816],[1009.68760288],177.32644715504273
[11.51055479],[829.58979281],[16.81474779],[2.47443127],[1051.53721922],219.9554106893437
[4.82288445],[894.50859857],[1.62288409],[0.52230106],[937.79843867],93.68613667194359
[0.03508992],[15989.64448582],[5.45884836],[16.85915975],[994.25966516],179.60933511538315
[24.11926135],[772.49454641],[9.70158458],[20.26467991],[946.41295916],241.74825077059347
[0.09335688],[17159.10726985],[13.1038922],[20.43151451],[1186.92436595],233.38696896499255
[6.55202403],[728.74646871],[17.16502426],[12.17589403],[979.86816688],241.8090550487907
[4.03346451],[716.6018109],[9.31495454],[7.40344071],[937.87796606],237.81032707218037
[20.98231565],[785.30943711],[11.16575078],[15.11431259],[968.11065039],248.0863483624928
[1.51464636],[933.52455227],[15.33735323],[13.42410366],[985.17479409],210.7191909122381
[0.04286609],[7105.01341487],[2.22302081],[9.83495488],[862.65539866],223.07788403347695
[0.12652282],[11155.84254507],[5.21295102],[8.13843832],[1011.04523628],239.46249762105344
[13.06948315],[726.02997363],[13.59714178],[3.36374801],[950.45632623],204.3463076600932
[0.20819068],[4483.25406165],[1.70215348],[2.98446731],[961.44225492],225.7194887722428
[1.47869572],[928.81928527],[18.33368675],[17.76766933],[935.235085],191.70380988355646
[0.14150555],[28279.47822059],[11.63680748],[17.63773103],[1056.07741672],240.9861313191925
[17.07353526],[787.43131007],[16.65046402],[2.23805681],[912.48813079],183.68346573044028
[22.66123302],[744.20337389],[3.63172599],[12.82113217],[975.30484934],226.1007340446098
[1.55470453],[757.69206058],[12.40146244],[16.09002175],[948.812369],201.9370279112759
[21.58542584],[751.41906027],[1.0449756],[19.7556938],[952.08671528],214.99901073635624
[7.30996713],[809.45738369],[13.97202861],[3.13064278],[952.16494859],183.8904307990473
[0.23508738],[2128.7303821],[6.08281607],[12.10545896],[949.99347775],201.10057580436535
[0.18862156],[2326.34826799],[7.85191942],[12.60278316],[1043.21765837],186.7310626236681
[4.05449258],[752.06183795],[13.22704271],[14.3102046],[982.64826533],211.47144499985586
[0.06895721],[13519.0090762],[3.50984148],[10.00789421],[1003.43405278],195.0603035367085
[0.58906651],[999.79406211],[12.30466228],[17.00048449],[953.66113435],117.21024299165151
[3.07795601],[759.20890909],[3.35912966],[20.30754948],[949.17933087],226.63167977255387
[0.3977425],[1201.14265526],[10.55241647],[22.01754338],[969.24469612],222.12831635976454
[23.76781442],[1022.38390857],[16.88270731],[0.60684826],[951.98028098],200.67233048919695
[0.06783974],[16065.35799957],[4.45193557],[14.71189555],[959.10392308],158.27443374799952
[0.24810528],[1988.43316262],[3.56941383],[5.67061172],[1025.4609219],219.2906956745378
[0.17515495],[13622.55631395],[5.39912876],[9.96250003],[942.5954122],240.31983351446922
[0.17501971],[1164.75288177],[4.13906117],[12.44280975],[867.67591985],213.47125072865663
[0.0748144],[11614.01935281],[13.01211438],[23.5677486],[1068.20176861],247.67512465184052
[0.12068828],[7382.21156877],[3.76016869],[10.79455087],[892.27762053],200.6149386530094
[18.0209836],[721.87863518],[8.05602438],[8.35456248],[962.56358275],235.54330542685364
[0.07410295],[18930.01812402],[4.70989568],[19.56922574],[851.88964713],167.38287782410418
[0.53235169],[861.5181498],[8.34884057],[24.32305646],[928.2864078],160.337627540619
[1.37323501],[830.7803712],[14.86208873],[16.09068452],[962.73199818],138.56870014004073
[2.33404615],[850.93297497],[17.81001794],[14.94454459],[1035.92608401],227.50732330041342
[15.03824041],[756.00365546],[0.28931264],[14.96526288],[974.24834322],224.91864960478642
[12.73288366],[774.31933129],[10.67140439],[12.4088468],[974.43976924],243.39587773111532
[7.99468969],[750.67996736],[18.4622166],[17.91036044],[937.65837613],228.11459931712523
[0.06340873],[5030.86840951],[8.50071043],[22.28944987],[979.95110486],105.13592301597305
[3.39542548],[773.66591],[13.86986405],[17.92273323],[950.2031918],213.57813446882494
[0.5127792],[872.30428011],[9.14860191],[17.12480334],[936.69825247],181.48824526159376
[0.12158351],[3992.94852395],[11.20590019],[23.51908345],[1000.22577317],83.88362991463202
[10.80875815],[941.32813724],[18.63468869],[2.32309006],[937.11153769],248.67817336579003
[22.76951261],[767.1833429],[2.57913856],[18.14583176],[972.15413847],234.0041423053258
[0.0750477],[19357.51625204],[2.45777955],[11.81364413],[844.19222082],237.17210298014913
[22.75933697],[731.41249102],[8.86138023],[7.26020236],[945.90250892],238.3911398930827
[0.12347047],[12331.72462721],[14.7190471],[23.17167053],[1112.07861267],226.66782775643355
[14.22527224],[749.94863707],[10.29935912],[2.74863563],[1005.45526912],209.25515072975213
[0.12247331],[11097.58650713],[8.77562695],[24.61102003],[857.02804211],176.52706081684573
[0.03336022],[18583.35595347],[5.80684146],[17.7287313],[985.08021779],162.84755168934544
[9.31346903],[897.9329296],[7.35202847],[2.07397317],[946.32344899],247.8042639089549
[0.21415469],[1482.26675388],[10.0086405],[24.6966961],[841.22510441],217.86606017980102
[5.46056815],[759.21661669],[7.18593038],[12.31440934],[943.77913685],228.00327611943828
[24.17227355],[726.15315554],[5.95284513],[1.55344348],[993.52569836],230.7104279491832
