r,K,m,g,C0,distance
[17.74719067],[751.03924139],[10.45615319],[1.72164328],[1030.0027035],244.21128916771374
[2.14693761],[854.1335399],[17.48809743],[16.75444574],[964.2269661],151.0320157253932
[3.17230983],[768.67301339],[14.45521424],[14.0383919],[995.65045269],210.07906024495787
[0.2330084],[1387.47958131],[10.10647026],[24.10697764],[965.72059964],136.44445508839976
[0.91202448],[798.62740589],[4.39804982],[9.92255646],[900.10070221],166.11134450461918
[8.50415792],[732.25841236],[3.42457309],[24.02688303],[981.30986571],244.06022809788897
[0.03347973],[28585.56084424],[4.86607727],[13.18466409],[1019.09033843],191.07169481743188
[9.21668534],[1222.88201417],[3.90701513],[0.11751756],[911.81800843],177.0356092313349
[0.15103797],[1278.43297427],[6.28189443],[24.92663184],[882.16923414],177.91203837603905
[0.09693975],[16773.91555804],[5.91815235],[14.5163214],[962.59384797],79.90929721532632
[0.05029123],[16346.89388024],[5.85064842],[12.82931168],[1045.84499588],203.3516266429766
[0.10900851],[21861.32053171],[9.2803811],[16.18363761],[1055.20584354],150.04332804661135
[0.14068353],[11447.18825689],[14.37601947],[24.75416807],[1002.5332622],164.0493183604235
[20.87816103],[738.94308716],[1.70952284],[4.81122442],[964.64401255],220.0660678508632
[16.73228248],[760.91845718],[9.08406372],[9.34306845],[976.8646923],232.36780431294562
[6.68745248],[732.61950648],[8.65756208],[14.86228775],[980.87836413],242.46686013340025
[5.38883368],[779.22757685],[13.28382701],[8.7402056],[962.53980106],216.48971411430898
[0.12923044],[953.9946095],[4.94159991],[14.13940962],[1022.86317144],222.28003811631925
[0.10345724],[10923.19448987],[7.57627598],[16.17376789],[945.94648153],93.85692942431524
[3.98030858],[720.73184899],[16.48847914],[17.75184826],[955.71049832],223.4902645107752
[0.0237751],[24901.24913413],[4.85470001],[12.58311082],[1015.22290509],236.7175432697835
[6.26088926],[759.16160207],[19.7960903],[12.60353444],[933.06959188],234.50642134096051
[0.15544778],[19711.70448941],[12.82856609],[20.12870057],[1036.20759967],239.83801717449342
[0.0493088],[13299.34794122],[4.15587363],[19.08424395],[877.40805343],202.4838158760308
[0.14161569],[4911.98361918],[12.98195771],[23.48797598],[984.6004386],120.62676448624711
[13.56306365],[781.47494758],[5.68894141],[12.41764358],[965.53484644],241.66579393103268
[0.06084363],[20439.35835574],[3.23369053],[8.65433301],[930.37676283],143.66158774708128
[0.10058137],[28196.39621819],[8.48116337],[24.79761373],[922.16468118],203.5655696010101
[4.31681164],[740.09477701],[1.49516214],[2.31174106],[934.1739262],200.7104839259789
[15.88438665],[738.20272847],[19.69767419],[13.78344369],[928.25492421],249.53582567366766
[0.01795092],[27877.77187338],[4.58163929],[21.30523101],[918.97621698],223.64962199595777
[0.09590651],[24920.6977722],[5.67274908],[8.88979173],[1140.1401121],241.143911239928
[0.08946111],[3090.38557063],[2.59677057],[9.69430001],[886.09027803],146.970982851416
[2.10008312],[810.92292817],[13.85671529],[15.3634472],[913.70730027],180.5929065184066
[13.03338586],[739.73374454],[1.28679416],[14.58701999],[944.48868235],231.77688564132814
[18.11948062],[755.79525193],[3.19029717],[7.81337393],[953.664877],217.70238824779767
[0.07827056],[20215.5556372],[4.74073599],[17.23769472],[891.30360065],178.58023084997615
[24.19879355],[725.19059034],[8.77547043],[21.33998492],[948.16785733],242.64155108683576
[4.86161131],[773.41315234],[5.15320461],[21.70807798],[970.55232141],238.13408595663168
[0.03832189],[2147.96742567],[3.77564864],[11.85938647],[1004.7395781],210.28462795289965
[7.19802899],[731.40396031],[5.98226435],[24.29483496],[983.06720229],246.62991603416788
[17.28953448],[723.5370863],[8.22440307],[12.64658847],[962.88325173],234.342072921748
[7.26103541],[751.23406135],[19.20860671],[20.93264851],[967.64305025],212.7318656107126
[0.12366378],[15253.51041999],[5.41131009],[15.28715102],[883.77475405],229.0221922062757
[0.13013438],[26512.27973304],[12.1053533],[23.34316342],[912.27310328],177.34010274108596
[13.90990857],[902.18437303],[17.17873063],[1.83090509],[1039.64942756],215.2038202499824
[0.09759582],[11804.65494737],[4.32268634],[14.08640009],[822.27295061],197.58288090686517
[13.55589508],[746.83458226],[4.65934812],[11.99217432],[975.94776285],224.1024359997457
[0.11016983],[13378.41595416],[4.71666696],[12.32458277],[949.86210458],185.15494037745452
[0.111689],[862.38840885],[2.87313102],[14.02006302],[959.93199593],231.97388988225134
[18.46764021],[769.16270679],[9.21047143],[2.18190478],[1010.30955997],219.03819285620227
[6.04892239],[781.74131436],[10.16173854],[20.32528493],[958.48293015],237.85219212824768
[12.19820593],[887.67001568],[3.69656333],[0.37710086],[1031.9702325],152.41044526156486
[0.08613804],[9480.38180996],[7.24152578],[23.16263421],[946.29817538],200.786359557531
[0.20201015],[1651.68264489],[6.64707646],[20.64846267],[804.34164186],206.78976283491636
[0.14418788],[29543.88926183],[9.07656792],[15.06597605],[952.48602638],176.23777101813027
[0.08773306],[22176.16405247],[6.07192427],[22.41491922],[882.06804696],228.94900052609205
[0.0146652],[15174.12428332],[4.56363579],[14.32088201],[962.24477473],207.39977128648252
[23.43774491],[769.27467864],[12.37323052],[7.53753658],[952.13355728],232.48859958495177
[12.41980822],[742.98504417],[12.80971647],[3.36991182],[936.78447333],199.91760374914838
[0.06004219],[14110.85560341],[2.97916971],[19.24845615],[817.72414989],245.55679920043997
[2.11198039],[796.17778127],[7.06304048],[10.82262443],[1021.62700943],244.0681546842643
[6.11452808],[797.70907955],[13.56959743],[3.39881202],[961.37816708],222.1138792324283
[24.66136162],[714.77945349],[2.9151943],[15.9977619],[959.11858065],242.10193838164116
[0.2764425],[1508.5897675],[4.95985786],[8.61826429],[976.79100301],120.49390372295136
[0.05999351],[21600.38135562],[5.6652489],[23.01229561],[860.73029732],175.50234360733486
[0.09331594],[5004.89994849],[9.64143884],[24.89201757],[899.40717187],163.28231861382005
[0.03644798],[18434.52397309],[6.3907543],[20.29418254],[972.21283858],146.73033744389113
[0.0066531],[19669.14269609],[1.58734671],[7.76462762],[960.38796435],232.99160630551114
[0.04716353],[22713.26783392],[3.63254152],[15.36032593],[942.67758741],181.79816104494387
[0.53583622],[910.27774609],[9.28098207],[14.21245636],[1091.60429257],193.59993079703804
[16.44015968],[808.86238008],[16.98723759],[2.71190416],[936.91285753],215.01899962456957
[13.19373399],[749.35906013],[10.56976397],[17.66603831],[941.03488226],225.60283873993365
[0.15584275],[20550.00619809],[9.39279194],[17.38740606],[903.28858699],237.96665033141267
[11.01708561],[738.72859734],[17.1949795],[3.12316282],[919.96707734],229.78689015268128
[3.73380829],[860.69158211],[12.33682534],[7.01774124],[925.18135682],223.05639290959846
[0.03202871],[7812.22169082],[5.58611613],[23.37445251],[940.61606654],191.05733088608702
[20.55966765],[774.96497394],[8.68883973],[22.54031114],[964.60740973],234.23904690461552
[21.59985839],[772.71629678],[5.25562062],[3.52915086],[966.19927789],226.7837445938518
[0.02695427],[3167.65544283],[4.33604402],[13.58965011],[1010.30793257],222.77159726811715
[0.17628085],[12027.10862624],[7.56509697],[13.70160862],[938.8115551],227.1317773126549
[2.42657304],[833.75917758],[7.16453522],[6.09509178],[1006.78987094],174.79580180431674
[7.19402201],[761.05150765],[16.31149785],[12.41781598],[968.57278281],221.9056458049945
[5.19776965],[818.17748548],[19.67301317],[5.73139116],[1028.09497447],235.96712399738772
[2.6916852],[799.84580898],[12.68866794],[21.69670944],[954.08388913],227.97442205815275
[8.33924112],[771.18012733],[6.92253863],[23.14412836],[967.81221026],233.61226359000784
[0.10702557],[16517.66633269],[6.04348833],[14.08553025],[1002.02766913],222.59276772300814
[0.17000032],[1648.78615846],[8.73167925],[15.23643312],[1112.37822489],184.97317870006123
[19.46470792],[756.17649478],[16.99537874],[13.09136226],[942.10395328],229.73504563377276
[0.88447701],[785.86829752],[13.12244756],[21.22149558],[1049.21429463],232.37640093941684
[5.84201965],[778.11245255],[12.49856757],[13.78045416],[962.3334441],231.045762012635
[5.98425206],[848.22193856],[12.4458997],[3.33139047],[969.55440688],183.84447005534946
[5.95941209],[819.90056547],[7.17569273],[2.65434264],[898.74883469],202.5403411322966
[0.12009549],[24303.11506518],[8.24883358],[16.84204317],[901.71278002],181.07854104052944
[11.53301463],[742.72518294],[2.21591975],[11.14602878],[976.37518247],228.63211557688305
[7.46471993],[879.6112572],[16.19272348],[3.53145117],[914.01145159],213.81981213057304
[0.0265676],[15977.64024788],[9.99588969],[24.78074581],[986.60813967],249.37126402047056
[21.46171996],[721.75355295],[5.49199942],[4.60102926],[944.3360474],247.5704684660965
[0.58924285],[981.4299],[10.2346394],[13.93263365],[1048.55069892],148.57280125106354
[2.84798047],[731.84352535],[3.57628703],[6.24298821],[972.50260518],204.06937569414674
[0.95860681],[907.72158456],[15.1280456],[22.79609531],[1043.56867433],185.29865287591258
[9.97299779],[817.74629692],[15.90421306],[2.66271811],[991.30057069],176.45208786141643
[0.0943344],[5525.31143968],[6.85495693],[16.99093132],[994.04819826],131.75515581497154
[0.54113548],[944.10041717],[1.32685908],[2.47826964],[908.86478307],161.03962091317533
[0.08661336],[26576.3111085],[4.67621747],[8.25623084],[1063.48453627],208.60087248291757
[0.05945848],[20116.88107411],[6.1578408],[15.71957048],[999.75516231],118.37546214649126
[12.36311018],[727.27354841],[7.11997097],[17.89805905],[966.39448694],234.11767852443222
[4.75950505],[732.9627436],[7.40784069],[7.76045896],[993.9784372],240.47477114823357
[0.09326496],[3388.61213611],[6.274823],[14.2361377],[1026.07555947],115.56982824085514
[12.18639567],[767.92600142],[6.8864371],[6.97929562],[978.37125591],240.01277184421224
[0.35936256],[837.90647698],[6.94001595],[18.14568762],[950.59819609],145.07125001955865
[0.08094011],[4157.70972669],[2.02452673],[5.8315532],[912.99554338],114.59472249240287
[0.20782957],[1133.82616308],[9.62649399],[17.8706293],[1019.8860721],211.6455549919135
[0.18611707],[20667.79780491],[10.24321648],[17.02502297],[960.07624778],246.08883623114866
[15.10534597],[805.3767635],[5.25982965],[1.13599112],[1057.73953873],230.995181275071
[17.00817246],[773.33322945],[16.53319078],[8.2868719],[951.20169221],237.42792318161878
[0.13480775],[1204.32672703],[3.41509311],[8.72625379],[996.6054212],129.77620402945809
[0.11557529],[28903.05139499],[4.72804455],[10.95588999],[926.31828601],102.64718541108596
[21.08106956],[742.70034102],[12.40048907],[2.55232739],[1029.64903093],245.9080085168505
[19.94852539],[746.43988845],[17.56889712],[13.3399341],[991.17169844],239.7286149686223
[2.0567803],[814.29888783],[13.00315563],[13.59865732],[969.76615556],137.01782793948382
[0.09255995],[21201.7068293],[9.77804943],[15.62036488],[1135.82703432],238.6617700137224
[0.03406821],[6617.69182295],[2.91072869],[12.67089921],[990.14122336],244.58556721338175
[13.94662791],[752.43969601],[3.02605525],[23.07848966],[996.67383281],243.78015246589644
[0.08452742],[7547.81419319],[3.01968921],[5.24499216],[1105.32811596],227.18343933726499
[0.0600094],[6638.52086049],[8.99284699],[21.53516626],[972.96694713],151.1633247978483
[22.05037106],[774.33365109],[9.7916082],[24.0713718],[978.30866906],247.30898591777202
[0.03922026],[29989.67367472],[4.70705332],[16.17380253],[994.35095229],197.66361444477877
[0.18219712],[2922.42240596],[15.43328435],[23.7917197],[1010.54341769],196.20594691403107
[0.21002773],[1007.8498287],[9.59689773],[21.96457984],[1029.45120883],161.14678912178192
[23.97826123],[739.56005834],[7.73500173],[17.68829193],[980.40408275],235.84400513892047
[16.62693102],[758.26400316],[14.68791109],[12.58246033],[924.52623888],249.395055058666
[0.0631113],[13010.39612553],[2.61538251],[7.62772524],[946.60026479],87.11129351392242
[0.11326969],[3932.05283556],[4.25731106],[19.82557693],[791.00974423],234.69997017076105
[0.10852776],[5857.18035413],[7.32959146],[22.0053335],[828.48251185],211.95102431273995
[9.65079482],[745.45643399],[11.58418149],[15.34255106],[973.64121278],223.0861797213105
[18.73633095],[767.78254282],[12.0621171],[2.28063165],[963.71663604],162.00475318645
[1.82870358],[888.64410661],[16.4582049],[17.65590716],[954.53570724],144.8033105717244
[7.16350214],[759.21053244],[9.04808658],[8.13196714],[948.27218494],222.67037058800258
[1.73947176],[859.91208333],[12.95732544],[23.65061488],[940.43984272],233.39183269796297
[1.87364334],[851.07054795],[14.39801304],[13.33453325],[899.99486176],195.1948223551667
[2.53882068],[811.20578517],[19.26452559],[13.99800243],[891.25623445],222.259492623274
[0.17531413],[2558.70972328],[4.65607853],[8.69832727],[913.83577198],173.12589527304692
[10.09738574],[735.87685498],[6.29652269],[9.12494636],[934.88107543],244.91321153761578
[12.49727233],[1530.85296792],[7.58789193],[0.10764678],[807.43409518],202.95365901511116
[0.07919534],[28048.94717652],[8.20501136],[22.06175647],[899.04572242],147.02689636178445
[0.06676634],[25493.60625627],[10.99164422],[24.48505971],[1040.64023681],139.7358699814023
[18.22151757],[747.56402757],[9.21846649],[2.31483721],[1033.19240496],241.6367179497613
[21.13007692],[741.33247984],[13.57546519],[17.65458428],[991.27147305],244.9389314473391
[0.04521512],[9338.07950577],[7.87061779],[20.74260678],[1001.56012674],156.8048569421327
[0.17299225],[7355.99812947],[8.04508724],[12.67380327],[941.74757005],225.58128232996592
[14.32061679],[749.08639141],[13.90832007],[10.06134968],[972.7156758],218.52474382073126
[0.12899956],[15287.99692953],[7.93586773],[21.95336617],[835.5435619],216.72566775377015
[11.009877],[2076.24259057],[7.12488906],[0.01079644],[992.58508309],206.4320084652319
[13.20319254],[781.2961009],[5.56466535],[3.68763801],[980.3324086],244.46096760605496
[16.61718001],[756.1704396],[18.91518704],[3.57725468],[974.11280189],192.87071423793975
[0.10348161],[11798.92971279],[7.94962573],[19.19615527],[878.99997701],199.7096435348626
[12.46751161],[4977.54331384],[10.88284795],[0.02272792],[961.2021728],164.7075911405999
[20.26064119],[751.52817009],[18.69077085],[18.0622181],[939.02924738],228.16550813262438
[0.05963759],[15028.36431035],[9.4422271],[18.78745603],[1102.17725049],219.6100051598263
[9.65670606],[718.14121664],[3.71299397],[5.16125835],[966.89106434],240.36232101768428
[1.2472794],[904.14661008],[2.89668588],[4.82380034],[870.13729452],177.96968156970559
[10.59832987],[751.27545814],[0.66809193],[4.61767335],[998.44655784],243.55731990032837
[2.34217576],[746.07665653],[0.18451679],[9.08008497],[963.85821054],226.2137731311808
[0.05935012],[19104.64293248],[4.05565996],[18.86693279],[838.60832938],201.93407209388897
[0.06805312],[2506.80857746],[8.8914122],[24.92834353],[958.44236147],110.03401276214959
[0.46670386],[964.73648108],[12.68587925],[19.18800657],[945.25221238],214.95737407708282
[18.32879496],[1022.32565445],[7.7631562],[0.21598388],[1053.84845868],175.2602324897913
[0.05602017],[8541.07294405],[6.52899399],[18.80651272],[1016.28135712],182.20969020726147
[8.23031032],[744.32780626],[6.67207715],[24.98370173],[975.53209037],226.17747713083315
[24.7606084],[759.72773273],[9.83286079],[22.90239203],[983.34986523],237.74426441780236
[2.18869078],[820.24524971],[17.73783684],[23.42098974],[972.04397588],203.2375299641334
[24.37514013],[932.48431717],[13.85642336],[0.68051673],[860.31662882],180.51380342368088
[0.0825593],[13348.83099149],[4.59416657],[13.40205489],[904.89964208],79.39799233258952
[18.03464949],[974.30198557],[5.5363703],[0.22538473],[875.48706851],201.26062074847835
[0.10627843],[3245.15756135],[7.23872105],[20.27265024],[892.57994206],105.52450828604617
[0.01697532],[5275.81424477],[7.29595342],[21.29704924],[990.32528126],229.33150422685117
[12.32162981],[761.29644153],[1.10197523],[5.81584275],[954.19073201],222.38773850478003
[0.07870853],[14326.53570935],[7.8684939],[15.92437406],[1019.78344591],149.4833872035955
[6.13741597],[822.18177558],[0.91705507],[0.16551148],[963.57446115],186.24100710223422
[6.53873775],[773.5038913],[10.36605191],[24.87186576],[972.94790355],240.70512854469052
[14.63757774],[747.66828099],[15.53755674],[12.89095179],[973.02401934],220.34139229913228
[0.30213343],[1224.29935469],[10.97669645],[18.84989622],[1014.2391654],103.18103900011192
[0.10254443],[3289.6260233],[2.84085927],[10.77973963],[866.69879633],183.73432949436722
[20.68103233],[959.3361413],[16.98437049],[0.88864148],[983.98060881],212.28258246371945
[5.06062528],[742.52577611],[2.99445267],[3.86993917],[958.37974302],188.03101859339267
[3.54534652],[721.26578749],[11.5201597],[13.32714793],[981.29081339],232.97161452072066
[21.35916134],[742.48679463],[6.85762652],[1.58920681],[917.45198081],214.3256768883997
[0.68141344],[14476.33819631],[1.15098515],[0.30011256],[990.51055575],167.97632365059417
[0.08185103],[14247.74180514],[6.7286521],[11.9496542],[1128.6853224],192.7525528438573
[0.02371298],[18469.77577153],[7.30404431],[24.13267087],[916.02193335],242.57083899250563
[19.73336214],[752.35229773],[18.27258482],[14.02692079],[935.32305084],232.69396332978215
[0.08034382],[22443.47743891],[10.54942651],[24.82841998],[960.62681711],52.600551843750395
[0.09411983],[19670.26122574],[11.08910895],[21.25020261],[998.69456339],148.83146349635354
[0.35720943],[1388.41751858],[7.48302592],[12.46310417],[945.92876006],169.9323298384943
[17.59034523],[995.54545235],[7.75525469],[0.31114476],[1011.69739129],96.06003185250711
[16.87194784],[766.32822873],[17.53061433],[4.61748629],[943.72242703],227.2341914908768
[23.23181921],[766.27961553],[1.29353703],[9.79535511],[976.08520282],237.02737696780537
[1.05594533],[798.05128584],[2.20399499],[5.70171424],[884.93701612],193.3908728434892
[22.64158547],[967.00130085],[10.7438425],[0.43627392],[917.51734704],88.8194575810229
[16.67149242],[827.30405262],[10.61372494],[1.74856826],[1026.62227364],226.72352130978175
[0.12303145],[16329.74263255],[7.83700141],[14.82790061],[975.48482385],104.31422342946473
[5.8753542],[774.98654775],[0.35781315],[8.12639023],[945.02521103],245.72453360115423
[0.0324311],[14332.37292344],[4.7929683],[14.1058506],[1023.59435798],220.76843437429932
[0.12981968],[2330.19869815],[13.4755755],[23.49324582],[1062.58037199],190.3228627406553
[13.80771856],[841.67533073],[6.53400487],[1.46171037],[948.20494238],180.96735151731707
[12.80469699],[774.61274371],[8.36360881],[19.48437137],[956.89368328],233.38335768458364
[4.27585696],[750.09591967],[6.92125674],[6.13949348],[962.40588129],169.9673109062469
[11.50914444],[753.65807456],[7.94513016],[21.60094718],[966.73638355],215.05679719747104
[11.90554288],[812.14785602],[9.69021741],[2.23850554],[912.66807661],215.22300187565781
[0.12290071],[11041.01144808],[6.46800152],[16.2320261],[923.88087429],169.88411302134796
[22.58781519],[744.34743697],[13.36139903],[12.80156275],[921.78872208],249.8610390354287
[21.90803777],[756.11482555],[13.52751985],[11.04600667],[927.68860835],244.077860597768
[0.09114868],[20084.00696666],[2.32127619],[5.77967968],[952.87513752],47.869531007745195
[0.1288539],[16265.85323719],[13.39271602],[22.66752886],[985.97073861],146.40362834482914
[0.07065816],[18780.77995236],[1.74146424],[7.66732179],[800.00626551],233.80649752735394
[8.45945166],[786.92400875],[7.15162488],[2.16475957],[990.509497],165.26512136925908
[1.21095962],[813.24594495],[9.2863978],[14.44818029],[894.10253013],182.911168197262
[20.52700546],[738.86781393],[12.66338993],[14.30791243],[962.68691711],218.81818375283046
[0.14627014],[29495.45982803],[6.27529245],[14.18205574],[877.91734434],224.19652483553807
[13.97650316],[1110.80025451],[8.1667313],[0.30924535],[935.27481321],124.12612916063222
[0.07696643],[22008.95602756],[1.30343345],[4.36382837],[862.39185985],141.7489079170748
[0.11673211],[2173.16596134],[3.20151669],[13.24926922],[832.53277682],171.75969024499375
[15.08523883],[770.76405882],[7.86051284],[6.69018334],[951.71994423],233.80971243712622
[4.6572914],[753.30716456],[14.16300181],[13.83965287],[986.30783994],221.66141433977987
[0.06938181],[27214.70690849],[5.11381931],[14.09406515],[922.45180815],104.90370541541574
[0.13143223],[2196.42101429],[3.27832393],[9.88077523],[854.79804261],152.00108604938248
[2.93697086],[906.36958907],[13.72643981],[8.58415631],[964.36967961],202.56628714223712
[21.68600205],[741.62803909],[19.98833378],[2.48166004],[897.85370059],231.22523428054922
[7.18200079],[869.64413508],[17.42742156],[4.09622866],[956.67964897],193.9941391593295
[1.74124741],[896.25775056],[19.34964124],[11.63165061],[937.07722053],246.9937349552962
[0.06524435],[10374.36559693],[5.2936241],[20.16360802],[836.18298832],217.2734783933954
[0.14276132],[4491.22713464],[10.89336475],[18.3426153],[1086.37490186],218.83980972911365
[13.27635939],[728.59072504],[15.69752859],[7.18894771],[960.95950966],225.9277333565867
[21.42511169],[751.46949107],[4.5911742],[14.21603752],[931.42158559],235.7142530427907
[13.09936478],[928.36104011],[7.04022157],[1.08137163],[997.64558918],239.93065341414376
[0.08749593],[4134.02173754],[8.98773463],[20.4145875],[928.15287463],219.39836642325486
[20.36213735],[772.49654142],[18.22011964],[19.75167188],[951.71203921],236.45114096724637
[0.10426174],[29058.43646904],[4.40636124],[12.96790598],[886.69700953],171.0949543480624
[0.20052301],[1032.16629952],[6.76336988],[17.80006047],[898.34836511],225.83317955468965
[17.30331507],[743.29830855],[1.20774526],[6.58752228],[952.85696055],219.72947448475065
[24.68871022],[772.85083579],[0.92888226],[6.40153769],[968.85145332],236.30372077577624
[0.17127708],[4530.12343922],[11.53919928],[20.41196642],[1016.21314148],221.1034775948234
[3.9573254],[756.23976241],[6.40557544],[19.19913473],[936.36562851],232.2987719495983
[0.13660434],[24360.13085932],[4.97099873],[7.47667388],[986.6016124],243.2035569962992
[2.18461516],[763.20360587],[19.63702737],[23.65143519],[1039.1030387],227.2399935103972
[9.62334248],[749.44931152],[11.88801181],[2.62287965],[922.3695684],223.16670347599904
[0.53806541],[890.57715157],[3.92489594],[14.39422554],[845.40899733],227.33660329028874
[0.23489955],[2246.71496643],[4.92627959],[7.77430708],[995.66731585],202.1750857495564
[0.08292695],[25070.73232354],[7.96697221],[19.01756146],[997.20887518],100.31774205227134
[7.47119894],[760.42218024],[14.52044955],[24.99172058],[934.03531883],241.73446230976663
[3.50065106],[811.3310753],[14.35948721],[10.52524927],[1005.75910349],240.29078209417673
[0.0725279],[25407.18127625],[11.19758983],[22.91526939],[1100.69270092],214.03716663033038
[0.09428325],[9439.32374404],[3.48234062],[10.78244134],[874.14567586],103.29020063828398
[16.93688742],[776.96605513],[2.10806669],[17.77288398],[952.58239023],240.05028962729705
[16.06000805],[884.91027967],[8.34993071],[0.49530526],[1002.1996592],247.2222621876109
[9.80065794],[752.38147231],[17.1986431],[4.74269984],[979.90204961],201.24262874400472
[0.0456475],[17058.0661651],[1.47294957],[5.71561504],[875.40521063],204.02644227658652
[23.68161281],[747.25562819],[17.65685927],[12.07002402],[967.55322483],215.2910851940045
[1.20753548],[806.79222494],[3.1807679],[4.52171375],[971.05321023],160.43205654991084
[20.4478951],[728.55897665],[7.61237408],[12.03648771],[981.66482685],248.10194340739054
[19.27708867],[759.71546187],[16.91159145],[16.72893857],[973.42700069],227.80887460019164
[7.86611463],[747.55483173],[9.20122542],[11.01947475],[926.18177299],241.3910737675434
[0.12262067],[29090.26802958],[12.180691],[19.52154612],[1091.31930574],216.23236902527617
[0.0049125],[26220.19880283],[5.94355838],[23.91681634],[931.96795662],239.61978325271252
[5.86485157],[739.00454391],[10.99053701],[8.05671104],[982.19085145],226.38137706426755
[19.93605473],[897.49916196],[15.9946211],[1.32054701],[921.73432961],138.31791238226344
[1.37970783],[925.30716916],[7.99381663],[7.12452123],[992.89387069],210.9819299206822
[10.01054557],[766.63628246],[19.37333355],[4.8952642],[908.72555994],247.9736271534307
[0.27702732],[1535.16798778],[4.52956789],[8.10856952],[1036.90215005],244.3534127442383
[22.65986647],[810.44692028],[10.63444865],[1.47886805],[1009.42130192],200.78121945587077
[18.59940933],[735.94136954],[17.71373919],[16.82253601],[962.53994659],221.5982700444158
[0.08406829],[10618.19121502],[7.85428258],[16.4943988],[935.44975837],242.32984745684428
[0.04142],[16405.63528417],[5.56581555],[16.89758623],[945.91142607],144.40809799079386
[0.13109478],[12153.07920725],[7.50583724],[22.05613442],[830.63716035],228.28097075145763
[0.13143603],[17304.62949461],[6.56098732],[11.03365112],[1073.31760832],225.96674676772795
[4.61626645],[767.93104455],[16.96359028],[18.51288047],[946.76696447],226.19440584489234
[9.35862029],[830.2266637],[17.10177609],[2.8103548],[999.19305797],194.62870399162273
[16.31344387],[917.11570776],[14.21161928],[1.71052166],[977.94663649],249.15439501488015
[7.94490578],[719.03365104],[14.61194958],[14.95241636],[962.93498613],238.31500355712444
[5.4858315],[756.59010141],[12.67638623],[8.10653889],[986.0789181],217.51584175151686
[19.30886285],[879.54107933],[3.64427502],[0.83100126],[969.41768352],240.99084993860117
[1.5336074],[814.98249025],[11.28743705],[24.64940154],[981.66798347],222.30517073085036
[22.83793802],[786.01315341],[4.38145863],[3.54610153],[950.55122357],245.82475215699844
[0.09013435],[2713.773839],[12.52633963],[23.84204995],[1044.62557269],231.8201276166393
[18.43748848],[770.88113657],[3.17118053],[17.82977019],[944.19164544],242.35612550620408
[5.97245594],[737.12212172],[1.86576938],[20.28576881],[959.72659856],219.37396436527592
[20.61985013],[764.97496785],[15.2099689],[1.85768866],[976.33621588],157.3564425311764
[13.61122512],[750.89532948],[15.99074361],[24.55581369],[980.57546608],226.13619948985638
[0.11671958],[16286.13679249],[7.8897742],[14.80491282],[976.13896097],97.66840041004411
[0.1139074],[17004.67036696],[4.32795685],[8.41177004],[960.83115241],78.58175025941796
[0.13845482],[10287.15315694],[8.49466812],[22.07743234],[892.10004692],235.08343858202716
[0.11982436],[26944.90740882],[14.679663],[22.59396037],[1087.00708586],220.91469707448096
[20.80063023],[839.49552727],[7.41988219],[0.77480816],[1021.22336756],158.57944578858564
[0.1026128],[15027.14898544],[5.73306407],[23.50025745],[805.75622451],228.17041561001554
[0.05739309],[16357.48077121],[9.96184726],[23.39013834],[1038.16009222],161.90735715955077
[0.09649364],[21100.0045153],[3.44048053],[7.84771185],[887.15763397],246.23924389615468
[0.43332671],[784.68115272],[7.0473115],[17.44430664],[996.51811973],204.30789601632387
[13.41292269],[742.59717348],[12.39564442],[19.59069077],[925.89911438],247.5014931681486
[0.02294083],[19378.1791929],[4.28812374],[18.31580699],[932.95980744],202.6660996220828
[2.40414084],[775.8988344],[17.63164282],[12.16061528],[917.89009606],240.52439403572293
[9.67220102],[743.34406093],[2.6855339],[7.69966114],[971.08328928],222.3523490286251
[20.64103002],[845.3205017],[13.44522805],[1.24434842],[893.32186909],171.2194330578203
[2.71801593],[933.75483625],[1.84546167],[0.73812659],[959.53879564],127.29701119639105
[0.03396152],[27237.10534838],[7.24179678],[22.93232023],[966.47141524],138.2318077553556
[0.86780996],[975.50015791],[9.72532035],[16.28302926],[899.67980542],197.3743579760844
[18.25301316],[726.21072488],[6.05928502],[12.29538956],[952.98660643],236.79929804031565
[4.95871636],[745.01594269],[9.524162],[24.35155554],[953.1116375],216.4971062915688
[0.85236802],[983.45550033],[9.27450054],[10.04203277],[950.37818515],167.89720239031885
[0.10318964],[22896.74863747],[1.71954847],[3.06691576],[1049.44012694],114.61631989523107
[12.60852826],[765.23652333],[7.35388059],[19.58407947],[950.57007595],230.33084822709964
[6.47323053],[746.18503363],[12.44862097],[4.1435669],[1034.96689965],239.29938721323447
[16.68021587],[762.56963625],[6.86337948],[1.74894873],[867.39297558],238.81373956204163
[0.62700311],[6459.07390368],[0.87090609],[0.24514651],[884.09004984],178.6107166979392
[21.24480675],[751.654948],[4.09090293],[2.66783998],[932.12755369],222.8824595931526
[6.70350211],[748.42034197],[5.20012917],[2.08424479],[925.97074518],239.5441988191816
[20.18483098],[761.52387782],[0.83957243],[8.87384937],[992.49933881],248.68197068076825
[3.41844866],[741.58241207],[10.34948889],[19.76760959],[949.45894016],214.71340063160426
[1.02307146],[921.35722021],[4.45339189],[7.34648573],[985.22567799],153.50500600719522
[5.33691979],[790.13943815],[9.97090652],[4.13441713],[1020.50859847],201.17396237923288
[3.07713128],[771.98570884],[7.52893882],[17.9185539],[942.67620314],232.4071323028645
