,S,I,R,HS,HI,HR,F
57,48.0,1.9216112283915954,0.078388771608404,0.0,0.7352174717774879,0.004016733786512544,8.17549254329302
58,48.0,1.9202637694829452,0.07973623051705415,0.0,0.8268060013705487,0.004584913172189421,8.058658355351941
59,48.0,1.918917255430093,0.0810827445699064,0.0,0.9281707151319024,0.005223710264210736,7.94512081880696
60,48.0,1.9175716855704934,0.08242831442950593,0.0,1.0401853634824074,0.005940661978189033,7.834982643306568
61,48.0,1.9162270592420658,0.08377294075793346,0.0,1.163791211069106,0.006743983128999282,7.728358675533822
62,48.0,1.914883375783194,0.0851166242168053,0.0,1.3000031260563978,0.007642620218192042,7.625376778292887
63,48.0,1.9135406345327253,0.08645936546727397,0.0,1.4499167009149545,0.008646310622535458,7.526178799959127
64,48.0,1.912198834829971,0.08780116517002828,0.0,1.614716459075612,0.009765647426392798,7.430921638606628
65,48.0,1.9108579760147055,0.08914202398529382,0.0,1.7956854265022801,0.011012151092380774,7.339778421740585
66,48.0,1.9095180574271662,0.09048194257283317,0.0,1.9942165002921415,0.012398349820479767,7.252939834017745
67,48.0,1.9081790784080532,0.09182092159194631,0.0,2.2118257451538335,0.013937869262697704,7.170615605268234
68,48.0,1.9068410382985286,0.09315896170147091,0.0,2.450168108765671,0.01564553360625889,7.093036193677232
69,48.0,1.9055039364402169,0.09449606355978263,0.0,2.711056030301279,0.01753748018930154,7.02045470263202
70,48.0,1.904167772175204,0.09583222782479549,0.0,2.99648151623001,0.019631290097455387,6.953149074236872
71,48.0,1.9028325448460373,0.09716745515396218,0.0,3.3086423815973873,0.021946137713188117,6.891424611772702
72,48.0,1.9014982537957252,0.09850174620427432,0.0,3.6499735698321683,0.02450296310819783,6.835616899592664
73,48.0,1.9001648983677366,0.09983510163226293,0.0,4.023184510339752,0.027324671250633113,6.786095190269746
74,48.0,1.898832477906001,0.10116752209399858,0.0,4.431303860620715,0.03043636355365169,6.743266356090735
75,48.0,1.8975009917549077,0.10249900824509184,0.0,4.8777335165173525,0.03386560938508455,6.707579539066811
76,48.0,1.8961704392593062,0.10382956074069352,0.0,5.366313221210398,0.03764276256901275,6.679531587551997
77,48.0,1.8948408197645044,0.1051591802354951,0.0,5.901399265994332,0.04180133659152087,6.659673520304092
78,48.0,1.8935121326162707,0.1064878673837289,0.0,6.48795979625808,0.046378447673773346,6.648618179611434
79,48.0,1.8921843771608309,0.1078156228391685,0.0,7.131691228339838,0.05141534214655404,6.647049361510003
80,48.0,1.8908575527448703,0.10914244725512912,0.0,7.839161037818461,0.056958026926925816,6.655732754227833
81,48.0,1.8895316587155317,0.11046834128446775,0.0,8.617983824428965,0.06305802667311639,6.675529099136744
82,48.0,1.8882066944204159,0.11179330557958368,0.0,9.477039605018645,0.06977329763201359,6.707410102261453
83,48.0,1.8868826592075807,0.11311734079241874,0.0,10.426747141761215,0.07716933974226164,6.752477828613856
84,48.0,1.885559552425542,0.11444044757445748,0.0,11.479406310266215,0.08532055042846272,6.8119883438918905
85,48.0,1.8842373734232716,0.11576262657672781,0.0,12.649633236791676,0.09431189300141161,6.887380888677688
86,48.0,1.8829161215501986,0.11708387844980095,0.0,13.954915684389183,0.10424095931499573,6.980313990711433
87,48.0,1.8815957961562075,0.11840420384379202,0.0,15.416329340409677,0.11522054248210091,7.092710558863456
88,48.0,1.8802763965916391,0.11972360340836032,0.0,17.05947021691847,0.12738186996571604,7.226814613800129
89,48.0,1.87895792220729,0.12104207779270948,0.0,18.915681992819763,0.1408787048853924,7.38526333146241
90,48.0,1.8776403723544115,0.12235962764558796,0.0,21.023688865805635,0.15589259428227975,7.5711793274079024
91,48.0,1.87632374638471,0.12367625361528937,0.0,23.431795837610263,0.1726396584227226,7.788290162699773
92,48.0,1.875008043650347,0.1249919563496526,0.0,26.200895284808027,0.19137947613550624,8.04108490282051
93,48.0,1.873693263503937,0.12630673649606242,0.0,29.408635260210907,0.21242685696081753,8.335021753434093
94,48.0,1.8723794052985498,0.12762059470144946,0.0,33.15529436405551,0.2361676574293369,8.676807314740664
95,48.0,1.8710664683877083,0.12893353161229087,0.0,37.572214111643646,0.26308036099329324,9.074777989926895
96,48.0,1.8697544521253888,0.13024554787461043,0.0,42.834146378974246,0.2937660265977055,9.53942985661375
97,48.0,1.8684433558660205,0.1315566441339789,0.0,49.1777508983148,0.328990665554052,10.084169220616854
98,48.0,1.867133178964485,0.1328668210355144,0.0,56.9300091873828,0.3697464987542225,10.726398730936454
99,48.0,1.8658239207761167,0.13417607922388256,0.0,66.55315155009305,0.41734271270347917,11.489128258851698
