Time,Replicates,Surface,Cleaning,Count
-41,4,KYDEX,DW,2181
-41,5,KYDEX,DW,2000
-41,6,KYDEX,DW,2100
-24,1,KYDEX,DW,1326
-24,2,KYDEX,DW,1488
-24,3,KYDEX,DW,909
-24,4,KYDEX,DW,1103
-24,5,KYDEX,DW,980
-24,6,KYDEX,DW,1311
-17,1,KYDEX,DW,827
-17,2,KYDEX,DW,605
-17,3,KYDEX,DW,842
-17,4,KYDEX,DW,764
-17,5,KYDEX,DW,641
-17,6,KYDEX,DW,841
-0.666666667,1,KYDEX,DW,1365
-0.666666667,2,KYDEX,DW,1548
-0.666666667,3,KYDEX,DW,1172
-0.666666667,4,KYDEX,DW,1073
-0.666666667,5,KYDEX,DW,1230
-0.666666667,6,KYDEX,DW,950
